movieId,title,genre,year_of_release,userId,rating,timestamp
62,Mr. Holland's Opus,Drama,1995,404,4,1996-07-26 10:15:41
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy|Crime,1996,484,4,2012-07-14 01:08:01
64,Two if by Sea,Comedy|Romance,1996,19,2,2000-08-08 04:13:57
65,Bio-Dome,Comedy,1996,307,3,2007-08-02 20:29:08
66,Lawnmower Man 2: Beyond Cyberspace,Action|Scifi|Thriller,1996,448,2,2002-04-18 12:33:50
68,French Twist,Comedy|Romance,1995,90,3,1997-02-19 12:10:49
69,Friday,Comedy,1995,353,3,1996-05-12 22:36:40
70,From Dusk Till Dawn,Action|Comedy|Horror|Thriller,1996,450,2,2000-11-20 07:26:58
71,Fair Game,Action,1995,438,2,2005-01-14 01:07:05
72,Kicking and Screaming,Comedy|Drama,1995,191,4,1996-04-17 17:08:17
73,"Misérables, Les",Drama|War,1995,606,4,2007-02-13 23:44:34
74,Bed of Roses,Drama|Romance,1996,456,4,1997-02-25 15:11:08
75,Big Bully,Comedy|Drama,1996,151,3,1997-02-14 19:21:23
76,Screamers,Action|Scifi|Thriller,1995,604,4,1996-05-14 13:30:15
77,Nico Icon,Documentary,1995,603,4,2000-03-31 05:55:06
78,"Crossing Guard, The",Action|Crime|Drama|Thriller,1995,414,3,2000-06-20 16:29:41
79,"Juror, The",Drama|Thriller,1996,437,2,1997-03-30 11:24:40
80,"White Balloon, The",Children|Drama,1995,325,4,2002-12-09 01:33:31
81,Things to Do in Denver When You're Dead,Crime|Drama|Romance,1995,414,2,2000-06-20 15:22:48
82,Antonia's Line,Comedy|Drama,1995,606,4,2007-04-03 22:00:19
83,Once Upon a Time... When We Were Colored,Drama|Romance,1995,214,3,1997-01-22 13:03:05
85,Angels and Insects,Drama|Romance,1995,603,5,2000-03-24 19:13:11
86,White Squall,Action|Adventure|Drama,1996,607,4,2000-07-08 18:01:51
87,Dunston Checks In,Children|Comedy,1996,599,1,2018-02-21 03:49:01
88,Black Sheep,Comedy,1996,608,3,2005-05-31 02:05:59
89,Nick of Time,Action|Thriller,1995,414,3,2000-06-20 15:45:28
92,Mary Reilly,Drama|Horror|Thriller,1996,606,4,2007-02-13 11:15:42
93,Vampire in Brooklyn,Comedy|Horror|Romance,1995,608,3,2005-05-31 02:34:18
94,Beautiful Girls,Comedy|Drama|Romance,1996,385,4,1996-11-04 19:58:23
95,Broken Arrow,Action|Adventure|Thriller,1996,364,5,1997-07-21 00:02:47
96,In the Bleak Midwinter,Comedy|Drama,1995,474,4,2003-05-15 17:49:57
97,Hate,Crime|Drama,1995,444,5,1996-08-06 05:42:20
99,Heidi Fleiss: Hollywood Madam,Documentary,1995,191,5,1996-04-17 16:50:09
100,City Hall,Drama|Thriller,1996,602,3,1996-08-24 08:43:48
101,Bottle Rocket,Adventure|Comedy|Crime|Romance,1996,474,4,2004-04-13 13:21:29
102,Mr. Wrong,Comedy,1996,151,4,1997-02-14 19:15:40
103,Unforgettable,Mystery|Scifi|Thriller,1996,492,3,1997-05-18 17:31:14
104,Happy Gilmore,Comedy,1996,414,4,2000-06-19 18:19:22
105,"Bridges of Madison County, The",Drama|Romance,1995,411,3,1996-06-23 12:22:19
106,Nobody Loves Me,Comedy|Drama,1994,4,4,2001-04-09 20:39:44
107,Muppet Treasure Island,Adventure|Children|Comedy|Musical,1996,448,4,2002-04-18 10:23:16
108,Catwalk,Documentary,1996,603,4,2000-03-31 05:54:30
110,Braveheart,Action|Drama|War,1995,399,3,2006-12-27 11:52:47
111,Taxi Driver,Crime|Drama|Thriller,1976,419,4,2011-11-18 23:33:36
112,Rumble in the Bronx,Action|Adventure|Comedy|Crime,1995,469,3,2000-08-03 20:20:11
113,Before and After,Drama|Mystery,1996,6,3,1996-10-17 12:44:17
116,Anne Frank Remembered,Documentary,1995,609,3,1996-11-05 19:10:25
117,"Young Poisoner's Handbook, The",Crime|Drama,1995,604,3,1996-05-14 13:30:36
118,If Lucy Fell,Comedy|Romance,1996,19,3,2000-08-08 04:16:57
119,"Steal Big, Steal Little",Comedy,1995,414,3,2000-06-19 18:16:49
121,"Boys of St. Vincent, The",Drama,1992,40,4,1996-05-14 07:51:58
122,Boomerang,Comedy|Romance,1992,249,3,2012-11-29 21:51:34
123,Chungking Express,Drama|Mystery|Romance,1994,603,3,2000-03-31 05:57:35
125,Flirting With Disaster,Comedy,1996,437,5,1997-03-30 11:42:16
126,"NeverEnding Story III, The",Adventure|Children|Fantasy,1994,234,2,2001-10-30 02:44:14
128,Jupiter's Wife,Documentary,1994,260,3,2005-02-26 09:32:50
129,Pie in the Sky,Comedy|Romance,1996,290,2,2000-11-23 00:05:43
132,Jade,Thriller,1995,266,2,1999-12-11 05:49:25
135,Down Periscope,Comedy,1996,456,3,1997-02-25 15:10:17
137,Man of the Year,Documentary,1995,609,3,1996-11-05 19:10:54
140,Up Close and Personal,Drama|Romance,1996,456,4,1997-02-25 15:10:17
141,"Birdcage, The",Comedy,1996,387,2,2005-05-30 01:02:23
144,"Brothers McMullen, The",Comedy,1995,602,3,1996-08-24 08:49:26
145,Bad Boys,Action|Comedy|Crime|Drama|Thriller,1995,483,4,2008-07-12 20:46:47
146,"Amazing Panda Adventure, The",Adventure|Children,1995,6,4,1996-10-17 12:33:27
147,"Basketball Diaries, The",Drama,1995,480,4,2007-05-14 16:39:22
148,"Awfully Big Adventure, An",Drama,1995,191,5,1996-04-17 17:08:17
149,Amateur,Crime|Drama|Thriller,1994,603,2,2000-07-09 21:53:35
150,Apollo 13,Adventure|Drama|IMAX,1995,415,4,2013-10-22 19:31:03
151,Rob Roy,Action|Drama|Romance|War,1995,314,3,1996-06-10 09:20:42
152,"Addiction, The",Drama|Horror,1995,380,1,2017-05-06 02:07:02
153,Batman Forever,Action|Adventure|Comedy|Crime,1995,386,2,1996-09-13 10:23:03
154,Beauty of the Day,Drama,1967,606,4,2007-03-04 00:30:58
155,Beyond Rangoon,Adventure|Drama|War,1995,599,3,2018-02-23 06:22:30
156,Blue in the Face,Comedy|Drama,1995,108,4,2003-01-17 21:56:42
157,Canadian Bacon,Comedy|War,1995,606,4,2007-02-11 22:58:08
158,Casper,Adventure|Children,1995,448,3,2002-04-18 10:26:23
159,Clockers,Crime|Drama|Mystery,1995,610,4,2017-05-03 22:28:56
160,Congo,Action|Adventure|Mystery|Scifi,1995,480,3,2007-05-14 21:35:19
161,Crimson Tide,Drama|Thriller|War,1995,425,4,2004-05-25 09:30:50
162,Crumb,Documentary,1994,387,4,2006-09-01 04:57:47
163,Desperado,Action|Romance|Western,1995,608,3,2005-05-27 02:48:41
164,Devil in a Blue Dress,Crime|Film-Noir|Mystery|Thriller,1995,429,3,1996-03-29 18:39:22
165,Die Hard: With a Vengeance,Action|Crime|Thriller,1995,455,3,1996-07-03 23:17:34
166,"Doom Generation, The",Comedy|Crime|Drama,1995,603,4,2000-07-09 21:39:21
168,First Knight,Action|Drama|Romance,1995,437,2,1997-03-30 11:37:20
169,Free Willy 2: The Adventure Home,Adventure|Children|Drama,1995,436,3,1996-05-31 08:08:30
170,Hackers,Action|Adventure|Crime|Thriller,1995,416,3,2007-08-19 03:47:44
171,Jeffrey,Comedy|Drama,1995,602,3,1996-08-24 08:49:26
172,Johnny Mnemonic,Action|Scifi|Thriller,1995,446,2,1996-09-27 15:50:41
173,Judge Dredd,Action|Crime|Scifi,1995,386,2,1996-09-13 11:21:33
174,Jury Duty,Comedy,1995,608,2,2005-05-31 02:36:15
175,Kids,Drama,1995,437,5,1997-03-30 11:34:22
176,Living in Oblivion,Comedy,1995,597,4,1999-10-19 19:30:16
177,Lord of Illusions,Horror,1995,604,4,1996-05-14 13:38:25
178,Love & Human Remains,Comedy|Drama,1993,191,1,1996-04-17 17:08:18
179,Mad Love,Drama|Romance,1995,6,1,1996-10-17 12:29:22
180,Mallrats,Comedy|Romance,1995,448,4,2003-07-13 09:39:14
181,Mighty Morphin Power Rangers: The Movie,Action|Children,1995,274,4,2007-02-21 02:15:06
183,Mute Witness,Comedy|Horror|Thriller,1994,325,4,2002-12-09 01:16:07
184,Nadja,Drama,1994,604,3,1996-05-14 13:30:36
185,"Net, The",Action|Crime|Thriller,1995,411,4,1996-06-23 12:15:00
186,Nine Months,Comedy|Romance,1995,353,5,1996-05-12 22:23:26
187,Party Girl,Comedy,1995,9,3,2003-02-07 22:31:59
188,"Prophecy, The",Fantasy|Horror|Mystery,1995,599,3,2017-06-26 23:08:24
189,Reckless,Comedy|Fantasy,1995,6,3,1996-10-17 12:44:01
190,Safe,Thriller,1995,4,2,1999-12-13 10:00:59
191,"Scarlet Letter, The",Drama|Romance,1995,414,2,2000-06-20 16:33:32
193,Showgirls,Drama,1995,404,3,1996-07-26 10:16:17
194,Smoke,Comedy|Drama,1995,385,1,1996-07-08 16:45:00
195,Something to Talk About,Comedy|Drama|Romance,1995,600,2,2009-03-22 09:29:38
196,Species,Horror|Scifi,1995,483,1,2007-06-10 17:29:08
198,Strange Days,Action|Crime|Drama|Mystery|Scifi|Thriller,1995,373,4,1996-11-01 06:41:43
199,"Umbrellas of Cherbourg, The",Drama|Musical|Romance,1964,603,5,2000-03-24 19:37:52
201,Three Wishes,Drama|Fantasy,1995,6,3,1996-10-17 12:44:50
202,Total Eclipse,Drama|Romance,1995,606,3,2007-02-20 23:53:18
203,"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy,1995,600,3,2009-03-22 22:13:30
204,Under Siege 2: Dark Territory,Action,1995,411,3,1996-06-23 12:20:18
205,Unstrung Heroes,Comedy|Drama,1995,414,3,2000-06-19 18:13:33
206,Unzipped,Documentary,1995,385,2,1996-08-12 16:32:02
207,"Walk in the Clouds, A",Drama|Romance,1995,429,5,1996-03-29 18:36:56
208,Waterworld,Action|Adventure|Scifi,1995,425,4,2005-04-22 12:41:59
209,White Man's Burden,Drama,1995,599,3,2017-06-26 23:00:03
210,Wild Bill,Western,1995,599,2,2018-02-21 23:39:04
211,"Browning Version, The",Drama,1994,28,3,2009-05-12 05:59:40
212,Bushwhacked,Adventure|Comedy|Crime|Mystery,1995,6,4,1996-10-17 12:43:01
213,Burnt by the Sun,Drama,1994,229,3,1996-07-09 19:57:26
214,Before the Rain,Drama|War,1994,603,4,2000-07-09 21:50:52
215,Before Sunrise,Drama|Romance,1995,474,4,2004-06-13 20:23:15
216,Billy Madison,Comedy,1995,474,1,2003-12-28 23:27:14
217,"Babysitter, The",Drama|Thriller,1995,307,2,2007-08-02 20:14:57
218,Boys on the Side,Comedy|Drama,1995,599,2,2017-06-26 21:02:44
219,"Cure, The",Drama,1995,6,3,1996-10-17 12:42:11
220,Castle Freak,Horror,1995,604,3,1996-05-14 13:30:36
222,Circle of Friends,Drama|Romance,1995,304,3,1999-09-01 20:58:43
223,Clerks,Comedy,1994,409,4,2000-09-15 00:35:33
224,Don Juan DeMarco,Comedy|Drama|Romance,1995,414,4,2000-06-20 15:13:17
225,Disclosure,Drama|Thriller,1994,438,3,2005-01-15 22:50:35
227,Drop Zone,Action|Thriller,1994,584,4,1996-06-17 05:08:26
228,Destiny Turns on the Radio,Comedy,1995,40,3,1996-05-14 07:49:50
229,Death and the Maiden,Drama|Thriller,1994,606,4,2007-02-18 01:32:29
230,Dolores Claiborne,Drama|Thriller,1995,323,3,2015-01-30 17:57:20
231,Dumb & Dumber,Adventure|Comedy,1994,434,4,2010-04-07 01:48:24
232,Eat Drink Man Woman,Comedy|Drama|Romance,1994,474,4,2007-06-09 00:18:45
233,Exotica,Drama,1994,414,4,2000-06-19 17:45:09
234,Exit to Eden,Comedy,1994,599,1,2018-02-23 02:42:34
235,Ed Wood,Comedy|Drama,1994,436,3,1996-05-31 08:02:09
236,French Kiss,Action|Comedy|Romance,1995,373,3,1996-11-01 06:35:28
237,Forget Paris,Comedy|Romance,1995,353,4,1996-05-12 22:25:14
238,Far From Home: The Adventures of Yellow Dog,Adventure|Children,1995,27,3,2000-07-04 04:38:45
239,"Goofy Movie, A",Animation|Children|Comedy|Romance,1995,380,3,2017-05-06 02:00:15
240,Hideaway,Thriller,1995,6,3,1996-10-17 12:32:51
241,Fluke,Children|Drama,1995,607,4,2000-07-28 00:34:50
242,Farinelli: il castrato,Drama|Musical,1994,479,4,2002-12-08 15:55:02
243,Gordy,Children|Comedy|Fantasy,1995,6,3,1996-10-17 12:33:08
246,Hoop Dreams,Documentary,1994,353,5,1996-05-12 22:24:57
247,Heavenly Creatures,Crime|Drama,1994,385,3,1996-09-16 16:49:01
248,Houseguest,Comedy,1994,240,5,1996-11-27 19:29:11
249,Immortal Beloved,Drama|Romance,1994,385,3,1996-06-13 18:53:57
250,Heavyweights,Children|Comedy,1995,599,1,2018-02-22 20:27:17
251,"Hunted, The",Action,1995,6,3,1996-10-17 12:44:17
252,I.Q.,Comedy|Romance,1994,314,4,1996-06-10 09:20:14
253,Interview with the Vampire: The Vampire Chronicles,Drama|Horror,1994,411,3,1996-06-23 12:15:00
254,Jefferson in Paris,Drama,1995,6,3,1996-10-17 12:34:15
255,"Jerky Boys, The",Comedy,1995,284,3,1996-05-22 17:48:25
256,Junior,Comedy|Scifi,1994,353,3,1996-05-12 22:24:57
257,Just Cause,Mystery|Thriller,1995,414,2,2000-06-22 13:57:56
258,"Kid in King Arthur's Court, A",Adventure|Children|Comedy|Fantasy|Romance,1995,436,3,1996-05-31 08:16:15
259,Kiss of Death,Crime|Drama|Thriller,1995,414,3,2000-06-22 13:56:01
260,Star Wars: Episode IV - A New Hope,Action|Adventure|Scifi,1977,312,5,2003-01-21 18:59:24
261,Little Women,Drama,1994,414,4,2000-06-19 17:58:46
262,"Little Princess, A",Children|Drama,1995,381,4,2007-01-14 18:51:44
263,Ladybird Ladybird,Drama,1994,606,4,2007-02-13 00:56:40
265,Like Water for Chocolate,Drama|Fantasy|Romance,1992,444,4,1996-05-21 10:18:36
266,Legends of the Fall,Drama|Romance|War|Western,1994,444,3,1996-08-06 06:10:04
267,Major Payne,Comedy,1995,604,3,1996-05-14 13:37:43
269,My Crazy Life,Drama,1993,603,3,2000-07-09 22:00:41
270,Love Affair,Drama|Romance,1994,6,3,1996-10-17 12:26:12
271,Losing Isaiah,Drama,1995,411,3,1996-06-23 12:39:06
272,"Madness of King George, The",Comedy|Drama,1994,322,4,2008-08-02 11:44:06
273,Mary Shelley's Frankenstein,Drama|Horror|Scifi,1994,373,5,1996-11-01 06:38:36
274,Man of the House,Comedy,1995,429,4,1996-03-29 18:36:56
275,Mixed Nuts,Comedy,1994,217,2,2000-04-17 04:10:34
276,Milk Money,Comedy|Romance,1994,411,3,1996-06-23 12:23:08
277,Miracle on 34th Street,Drama,1994,419,1,2011-10-11 12:56:42
278,Miami Rhapsody,Comedy,1995,603,2,2000-07-09 21:38:47
279,My Family,Drama,1995,6,3,1996-10-17 12:30:36
280,Murder in the First,Drama|Thriller,1995,602,3,1996-08-24 08:44:20
281,Nobody's Fool,Comedy|Drama|Romance,1994,599,3,2017-06-27 00:46:37
282,Nell,Drama,1994,373,4,1996-11-01 06:35:11
283,New Jersey Drive,Crime|Drama,1995,191,4,1996-04-17 17:08:18
284,New York Cop,Action|Crime,1993,594,5,2005-02-21 08:39:08
285,Beyond Bedlam,Drama|Horror,1993,604,4,1996-05-14 13:30:36
287,Nina Takes a Lover,Comedy|Romance,1994,84,3,1997-03-19 11:50:39
288,Natural Born Killers,Action|Crime|Thriller,1994,444,3,1996-08-06 05:54:02
289,Only You,Comedy|Romance,1994,458,3,1996-10-18 15:37:44
290,Once Were Warriors,Crime|Drama,1994,603,4,2000-03-24 19:10:49
291,Poison Ivy II,Drama|Thriller,1996,6,3,1996-10-17 12:32:51
292,Outbreak,Action|Drama|Scifi|Thriller,1995,429,5,1996-03-29 18:36:56
293,Léon: The Professional,Action|Crime|Drama|Thriller,1994,393,5,2015-05-01 18:45:16
294,"Perez Family, The",Comedy|Romance,1995,429,3,1996-03-29 18:36:56
295,"Pyromaniac's Love Story, A",Comedy|Romance,1995,19,3,2000-08-08 04:13:58
296,Pulp Fiction,Comedy|Crime|Drama|Thriller,1994,373,5,1996-11-01 06:30:40
298,Pushing Hands,Drama,1992,275,2,2003-03-31 02:12:05
299,Priest,Drama,1994,603,3,2000-07-09 21:53:05
300,Quiz Show,Drama,1994,373,3,1996-11-01 06:33:35
301,Picture Bride,Drama|Romance,1994,603,4,2000-03-31 06:05:13
302,Queen Margot,Drama|Romance,1994,603,4,2000-03-31 06:01:11
303,"Quick and the Dead, The",Action|Thriller|Western,1995,368,1,2000-12-03 07:51:29
304,Roommates,Comedy|Drama,1995,367,5,2001-08-14 18:23:36
305,Ready to Wear,Comedy,1994,603,1,2000-07-09 21:36:27
306,Three Colors: Red,Drama,1994,474,4,2003-07-21 13:05:23
307,Three Colors: Blue,Drama,1993,390,5,2009-08-14 18:25:13
308,Three Colors: White,Comedy|Drama,1994,414,4,2000-06-20 15:58:13
310,Rent-a-Kid,Comedy,1995,6,3,1996-10-17 12:41:59
311,Relative Fear,Horror|Thriller,1994,604,3,1996-05-14 13:31:30
312,Stuart Saves His Family,Comedy,1995,608,1,2005-05-31 02:25:53
313,"Swan Princess, The",Animation|Children,1994,6,3,1996-10-17 12:32:26
314,"Secret of Roan Inish, The",Children|Drama|Fantasy|Mystery,1994,476,4,1996-06-17 14:31:21
315,"Specialist, The",Action|Drama|Thriller,1994,240,3,1996-11-27 19:20:04
316,Stargate,Action|Adventure|Scifi,1994,429,3,1996-03-29 18:36:56
317,"Santa Clause, The",Comedy|Drama|Fantasy,1994,436,3,1996-05-31 08:00:21
318,"Shawshank Redemption, The",Crime|Drama,1994,414,5,2000-06-20 15:56:53
319,Shallow Grave,Comedy|Drama|Thriller,1994,353,5,1996-05-12 22:28:28
320,Suture,Film-Noir|Thriller,1993,603,3,2000-03-24 19:16:30
321,Strawberry and Chocolate,Drama,1993,84,4,1997-03-19 11:44:21
322,Swimming with Sharks,Comedy|Drama,1995,500,4,2001-11-12 01:15:55
324,"Sum of Us, The",Comedy|Drama,1994,84,4,1997-04-07 07:13:48
325,National Lampoon's Senior Trip,Comedy,1995,599,2,2017-06-26 19:25:56
326,To Live,Drama,1994,603,5,2000-07-09 21:47:53
327,Tank Girl,Action|Comedy|Scifi,1995,416,5,2007-08-19 03:49:01
328,Tales from the Crypt Presents: Demon Knight,Horror|Thriller,1995,571,2,2000-08-21 23:23:48
329,Star Trek: Generations,Adventure|Drama|Scifi,1994,520,4,2012-01-15 06:33:30
330,Tales from the Hood,Action|Crime|Horror,1995,274,4,2007-12-09 08:51:57
331,Tom & Viv,Drama,1994,84,3,1997-03-19 11:50:06
332,Village of the Damned,Horror|Scifi,1995,610,3,2016-11-19 08:12:11
333,Tommy Boy,Comedy,1995,435,4,2013-04-23 00:11:15
334,Vanya on 42nd Street,Drama,1994,603,5,2000-03-24 19:10:02
335,Underneath,Mystery|Thriller,1995,372,4,1997-09-16 13:04:22
336,"Walking Dead, The",Drama|War,1995,6,3,1996-10-17 12:43:43
337,What's Eating Gilbert Grape,Drama,1993,452,5,2002-02-11 03:32:27
338,Virtuosity,Action|Scifi|Thriller,1995,373,3,1996-11-01 06:41:43
339,While You Were Sleeping,Comedy|Romance,1995,474,4,2004-07-09 15:29:51
340,"War, The",Adventure|Drama|War,1994,414,3,2000-06-20 16:26:07
341,Double Happiness,Drama,1994,290,4,2000-11-23 00:05:01
342,Muriel's Wedding,Comedy,1994,500,2,2001-11-12 01:18:46
343,"Baby-Sitters Club, The",Children,1995,600,3,2009-03-22 08:47:53
344,Ace Ventura: Pet Detective,Comedy,1994,385,3,1996-06-13 19:20:09
345,"Adventures of Priscilla, Queen of the Desert, The",Comedy|Drama,1994,414,4,2000-06-19 18:00:14
346,Backbeat,Drama|Musical,1993,603,4,2000-07-09 21:58:42
347,Bitter Moon,Drama|Film-Noir|Romance,1992,6,3,1996-10-17 12:28:20
348,Bullets Over Broadway,Comedy,1994,323,4,2015-01-30 17:56:53
349,Clear and Present Danger,Action|Crime|Drama|Thriller,1994,436,3,1996-05-31 07:58:09
350,"Client, The",Drama|Mystery|Thriller,1994,447,4,1996-07-10 01:11:07
351,"Corrina, Corrina",Comedy|Drama|Romance,1994,284,3,1996-05-22 17:46:48
352,Crooklyn,Comedy|Drama,1994,6,3,1996-10-17 12:29:42
353,"Crow, The",Action|Crime|Fantasy|Thriller,1994,411,2,1996-06-23 12:24:35
354,Cobb,Drama,1994,599,2,2018-02-23 01:33:10
355,"Flintstones, The",Children|Comedy|Fantasy,1994,308,3,2015-01-16 02:15:49
356,Forrest Gump,Comedy|Drama|Romance|War,1994,425,5,2004-05-25 09:26:06
357,Four Weddings and a Funeral,Comedy|Romance,1994,453,5,2000-10-27 05:00:30
358,Higher Learning,Drama,1995,450,3,2000-11-20 07:16:10
359,I Like It Like That,Comedy|Drama|Romance,1994,6,3,1996-10-17 12:46:52
360,I Love Trouble,Action|Comedy,1994,606,3,2007-02-20 23:01:37
361,It Could Happen to You,Comedy|Drama|Romance,1994,599,3,2017-06-26 22:53:48
362,"Jungle Book, The",Adventure|Children|Romance,1994,308,4,2015-01-16 02:16:31
363,"Wonderful, Horrible Life of Leni Riefenstahl, The",Documentary,1993,387,4,2004-09-11 04:45:44
364,"Lion King, The",Adventure|Animation|Children|Drama|Musical|IMAX,1994,426,5,2015-12-25 21:59:47
365,Little Buddha,Drama,1993,606,4,2007-02-13 22:38:37
366,Wes Craven's New Nightmare,Drama|Horror|Mystery|Thriller,1994,571,2,2000-08-21 23:30:01
367,"Mask, The",Action|Comedy|Crime|Fantasy,1994,436,3,1996-05-31 08:03:17
368,Maverick,Adventure|Comedy|Western,1994,478,4,2005-07-15 22:41:32
369,Mrs. Parker and the Vicious Circle,Drama,1994,84,4,1997-03-19 11:47:44
370,Naked Gun 33 1/3: The Final Insult,Action|Comedy,1994,405,4,2011-01-25 02:14:01
371,"Paper, The",Comedy|Drama,1994,411,4,1996-06-23 12:31:13
372,Reality Bites,Comedy|Drama|Romance,1994,414,4,2000-06-19 18:16:19
373,Red Rock West,Thriller,1992,602,5,1996-08-24 08:43:08
374,Richie Rich,Children|Comedy,1994,608,1,2005-05-31 02:07:15
376,"River Wild, The",Action|Thriller,1994,436,3,1996-05-31 08:10:32
377,Speed,Action|Romance|Thriller,1994,419,4,2011-11-18 23:30:41
378,Speechless,Comedy|Romance,1994,489,4,2012-04-07 20:46:10
379,Timecop,Action|Scifi|Thriller,1994,381,4,2006-11-24 15:25:46
380,True Lies,Action|Adventure|Comedy|Romance|Thriller,1994,434,3,2010-04-07 01:38:19
381,When a Man Loves a Woman,Drama|Romance,1994,607,4,2000-07-08 18:13:29
382,Wolf,Drama|Horror|Romance|Thriller,1994,607,5,2000-07-08 18:06:34
383,Wyatt Earp,Western,1994,385,2,1996-06-13 18:55:55
384,Bad Company,Action|Crime|Drama,1995,91,4,2005-04-05 16:07:22
385,"Man of No Importance, A",Drama,1994,33,4,1999-10-12 08:22:39
386,S.F.W.,Drama,1994,414,3,2000-06-20 16:31:48
387,"Low Down Dirty Shame, A",Action|Comedy,1994,51,4,2009-01-02 21:43:49
388,Boys Life,Drama,1995,265,2,2000-08-03 16:00:56
389,"Colonel Chabert, Le",Drama|Romance|War,1994,410,5,2001-05-25 16:21:45
390,Faster Pussycat! Kill! Kill!,Action|Crime|Drama,1965,603,5,2000-07-09 21:13:25
